idk,username,twitter_name,first_name,last_name,status,state,gun_deathts_per_100k,guns_per_household,error,party
550,repbarrymoore,Barry Moore,Barry,Moore,member_HOR,Alabama,23.6,55.5,,Republican
179,usrepgarypalmer,Gary Palmer,Gary,Palmer,member_HOR,Alabama,23.6,55.5,,Republican
229,RepJerryCarl,Jerry Carl,Jerry,Carl,member_HOR,Alabama,23.6,55.5,error-ID,Republican
298,kayiveyforgov,Kay Ivey,Kay,Ivey,SG,Alabama,23.6,55.5,,Republican
382,RepMikerogersAL,Mike Rogers Campaign,Mike,Rogers,member_HOR,Alabama,23.6,55.5,error-ID,Republican
389,repmobrooks,Mo Brooks,Mo,Brooks,member_HOR,Alabama,23.6,55.5,,Republican
428,senshelby,Richard Shelby,Richard,Shelby,senator,Alabama,23.6,55.5,,Republican
437,robert_aderholt,Robert Aderholt,Robert,Aderholt,member_HOR,Alabama,23.6,55.5,,Republican
513,TomColeOK04,Tom,Tom,Cole,member_HOR,Alabama,23.6,55.5,,Republican
522,ttuberville,Tommy Tuberville,Tommy,Tuberville,senator,Alabama,23.6,55.5,,Republican
539,willainsworthal,Will Ainsworth,Will,Ainsworth,SLG,Alabama,23.6,55.5,,Republican
118,dansullivan_ak,Dan Sullivan,Dan,Sullivan,senator,Alaska,23.5,55.5,,Republican
589,ltgovmeyer,Kevin Meyer,Kevin,Meyer,SLG,Alaska,23.5,55.5,,Republican
596,lisamurkowski,Lisa Murkowski,Lisa,Murkowski,senator,Alaska,23.5,55.5,,Republican
604,govdunleavy,Mike Dunleavy,Mike,Dunleavy,SG,Alaska,23.5,55.5,,Republican
19,andybiggs4az,Andy Biggs,Andy,Biggs,member_HOR,Arizona,16.7,64.5,,Republican
24,ann_kirkpatrick,Ann Kirkpatrick,Ann,Kirkpatrick,member_HOR,Arizona,16.7,64.5,,Democratic
128,davidschweikert,David Schweikert,David,Schweikert,member_HOR,Arizona,16.7,64.5,,Republican
135,debbielesko,Debbie Lesko,Debbie,Lesko,member_HOR,Arizona,16.7,64.5,,Republican
154,dougducey,Doug Ducey,Doug,Ducey,SG,Arizona,16.7,64.5,,Republican
190,gregstantonaz,Greg Stanton,Greg,Stanton,member_HOR,Arizona,16.7,64.5,,Democratic
310,kyrstensinema,Kyrsten Sinema,Kyrsten,Sinema,senator,Arizona,16.7,64.5,,Democratic
601,senmarkkelly,Mark Kelly,Mark,Kelly,senator,Arizona,16.7,64.5,,Democratic
405,drpaulgosar,Paul Gosar,Paul,Gosar,member_HOR,Arizona,16.7,64.5,,Republican
452,reprubengallego,Ruben Gallego,Ruben,Gallego,member_HOR,Arizona,16.7,64.5,,Democratic
518,tomohalleran,Tom OHalleran,Tom,OHalleran,member_HOR,Arizona,16.7,64.5,,Democratic
30,asaforar,Asa Hutchinson,Asa,Hutchinson,SG,Arkansas,22.6,46.3,,Republican
75,bruce_westerman,Bruce Westerman,Bruce,Westerman,member_HOR,Arkansas,22.6,46.3,,Republican
176,electfrench,French Hill,French,Hill,member_HOR,Arkansas,22.6,46.3,,Republican
255,JohnBoozman,John Boozman,John,Boozman,senator,Arkansas,22.6,46.3,error-ID,Republican
429,RepRickCrawford,Rick Crawford,Rick,Crawford,member_HOR,Arkansas,22.6,46.3,Error-fixedID,Republican
484,rep_stevewomack,Steve Womack,Steve,Womack,member_HOR,Arkansas,22.6,46.3,,Republican
619,ltgovtimgriffin,Tim Griffin,Tim,Griffin,SLG,Arkansas,22.6,46.3,,Republican
514,tomcottonar,Tom Cotton,Tom,Cotton,senator,Arkansas,22.6,46.3,,Republican
,SecMayorkas,Alejandro Mayorkas,Alejandro,Mayorkas,Secretary of Homeland Security,Cabinet,,,ADDED,Democratic
,SecBlinken,Anthony Blinken,Anthony,Blinken,Secretary of State,Cabinet,,,ADDED,Democratic
,AmbassadorTai,Catherine Tai,Catherine,Tai,US Trade Representative,Cabinet,,,ADDED,Democratic
,SecDebHaaland,Deb Haaland,Deb,Haaland,Secretary of the Interior,Cabinet,,,ADDED,Democratic
,SecRaimondo,Gina Raimondo,Gina,Raimondo,Secretary of Commerce,Cabinet,,,ADDED,Democratic
,SecYellen,Janet Yellen,Janet,Yellen,Secretary of the Treasury,Cabinet,,,ADDED,Democratic
,joebiden,Joe Biden,Joe,Biden,President,Cabinet,,,ADDED,Democratic
,ClimateEnvoy,John Kerry,John,Kerry,Special Envoy for the Climate,Cabinet,,,ADDED,Democratic
,kamalaharris,Kamala Harris,Kamala,Harris,Vice President,Cabinet,,,ADDED,Democratic
,SecGranholm,Katherine Granholm,Katherine,Granholm,Secretary of Energy,Cabinet,,,ADDED,Democratic
,USAmbUN,Linda Thomas Greenfield,Linda,Thomas-Greenfield,United States Ambassador to the UN,Cabinet,,,ADDED,Democratic
,SecDef,Lloyd Austin,Lloyd,Austin,Secretary of Defense,Cabinet,,,ADDED,Democratic
,SecFudge,Marcia Fudge,Marcia,Fudge,Secretary of HUD,Cabinet,,,ADDED,Democratic
,SecMartyWalsh,Marty Walsh,Marty,Walsh,Secretary of Labor,Cabinet,,,ADDED,Democratic
,EPAMichaelRegan,Michael Regan,Michael,Regan,EPA Administrator,Cabinet,,,ADDED,Democratic
,SecCardona,Miguel Cardona,Miguel,Cardona,Secretary of Education,Cabinet,,,ADDED,Democratic
,SecretaryPete,Pete Buttigieg,Pete,Buttigieg,Secretary of Transportation,Cabinet,,,ADDED,Democratic
,POTUS,potus,Joe,Biden,President,Cabinet,,,ADDED,Democratic
,WHCOS,Ronald Klain,Ronald,Klain,White House Chief of Staff,Cabinet,,,ADDED,Democratic
,SecVilsack,Tom Vilsack,Tom,Vilsack,Secretary of Agriculture,Cabinet,,,ADDED,Democratic
,VP,Vice President,Kamala,Harris,Vice President,Cabinet,,,ADDED,Democratic
,whitehouse,White House,White,House,White House,Cabinet,,,ADDED,Democratic
,SecBecerra,Xavier Becerra,Xavier,Becerra,Secretary of Health,Cabinet,,,ADDED,Democratic
3,adamschiff,Adam Schiff,Adam,Schiff,member_HOR,California,8.5,28.3,,Democratic
7,alanlowenthal,Alan Lowenthal,Alan,Lowenthal,member_HOR,California,8.5,28.3,,Democratic
10,SenAlexpadilla,Alex Padilla,Alex,Padilla,senator,California,8.5,28.3,,Democratic
13,repbera,Ami Bera MD,Ami,Bera,member_HOR,California,8.5,28.3,,Democratic
549,repannaeshoo,Ann Eshoo,Anna,Eshoo,member_HOR,California,8.5,28.3,,Democratic
35,RepBarbaraLee,Barbara Lee,Barbara,Lee,member_HOR,California,8.5,28.3,error-fixed ID,Democratic
64,bradsherman,Brad Sherman,Brad,Sherman,member_HOR,California,8.5,28.3,,Democratic
122,darrellissa,Darrell Issa,Darrell,Issa,member_HOR,California,8.5,28.3,,Republican
564,RepDavidValadao,David Valadao,David,Valadao,member_HOR,California,8.5,28.3,,Republican
565,SenFeinstein,Dianne Feinstein,Dianne,Feinstein,senator,California,8.5,28.3,,Democratic
155,douglamalfa,Doug LaMalfa,Doug,LaMalfa,member_HOR,California,8.5,28.3,,Republican
165,eleniforca,Eleni Kounalakis,Eleni,Kounalakis,SLG,California,8.5,28.3,,Democratic
170,ericswalwell,Eric Swalwell,Eric,Swalwell,member_HOR,California,8.5,28.3,,Democratic
181,gavinnewsom,Gavin Newsom,Gavin,Newsom,SG,California,8.5,28.3,,Democratic
204,jackiespeier,Jackie Speier,Jackie,Speier,member_HOR,California,8.5,28.3,,Democratic
582,rephuffman,Jared Huffman,Jared,Huffman,member_HOR,California,8.5,28.3,,Democratic
223,teamobernolte,Jay Obernolte,Jay,Obernolte,member_HOR,California,8.5,28.3,,Republican
230,jerrymcnerney,Jerry McNerney,Jerry,McNerney,member_HOR,California,8.5,28.3,,Democratic
584,repjimcosta,Jim Costa,Jim,Costa,member_HOR,California,8.5,28.3,,Democratic
243,jimmygomezca,Jimmy Gomez,Jimmy,Gomez,member_HOR,California,8.5,28.3,,Democratic
244,jimmypanetta,Jimmy Panetta,Jimmy,Panetta,member_HOR,California,8.5,28.3,,Democratic
