,state,code,counts,max_party,dem_counts,rep_counts,ratio
0,Texas,TX,637,Republican,11,14,-3
1,Colorado,CO,140,Democratic,4,3,1
2,Massachusetts,MA,150,Republican,1,16,-15
3,Florida,FL,669,Democratic,40,15,25
4,New York,NY,465,Democratic,12,11,1
5,Pennsylvania,PA,194,Democratic,4,1,3
6,Alabama,AL,80,Democratic,6,2,4
7,North Carolina,NC,143,neu,2,2,0
8,Illinois,IL,218,Democratic,8,3,5
9,Oklahoma,OK,74,neu,0,0,0
10,California,CA,840,Democratic,23,16,7
11,Minnesota,MN,77,Democratic,4,0,4
12,Maryland,MD,123,neu,2,2,0
13,Kentucky,KY,69,Democratic,4,1,3
14,New Jersey,NJ,211,Democratic,9,3,6
15,Ohio,OH,214,Democratic,7,4,3
16,Washington,WA,173,Republican,3,8,-5
17,District of Columbia,DC,127,Democratic,9,3,6
18,Nevada,NV,119,neu,0,0,0
19,Arizona,AZ,161,Democratic,3,2,1
20,Arkansas,AR,44,Republican,0,1,-1
21,Utah,UT,44,neu,0,0,0
22,Louisiana,LA,56,Democratic,2,1,1
23,Missouri,MO,95,Republican,2,3,-1
24,Michigan,MI,139,Republican,2,5,-3
25,Wisconsin,WI,65,Republican,1,2,-1
26,Georgia,GA,169,Democratic,8,0,8
27,Iowa,IA,42,neu,0,0,0
28,Tennessee,TN,103,Democratic,3,2,1
29,New Mexico,NM,47,Republican,0,5,-5
30,Nebraska,NE,37,neu,0,0,0
31,South Carolina,SC,85,Democratic,3,2,1
32,Kansas,KS,27,neu,1,1,0
33,North Dakota,ND,3,neu,0,0,0
34,New Hampshire,NH,25,neu,0,0,0
35,Mississippi,MS,24,neu,0,0,0
36,Montana,MT,16,neu,0,0,0
37,Oregon,OR,100,Democratic,1,0,1
38,Indiana,IN,99,Republican,2,3,-1
39,Delaware,DE,9,neu,0,0,0
40,Idaho,ID,32,Democratic,2,0,2
41,Wyoming,WY,8,Republican,0,1,-1
42,Virginia,VA,128,Republican,5,7,-2
43,Connecticut,CT,43,neu,0,0,0
44,West Virginia,WV,8,neu,0,0,0
45,Alaska,AK,11,neu,0,0,0
46,Rhode Island,RI,17,neu,0,0,0
47,South Dakota,SD,15,neu,0,0,0
48,Hawaii,HI,16,neu,0,0,0
49,Maine,ME,4,neu,0,0,0
50,Vermont,VT,6,neu,0,0,0
